,Date,Country,Confirmed,Recovered,Deaths,Active,New Cases,New Recovered,New Deaths
17931,2020-04-27,US,988197,111424.0,56259,820514.0,22412,1378,4436
17746,2020-04-26,US,965785,106988.0,54881,803916.0,27631,1126,6616
17561,2020-04-25,US,938154,100372.0,53755,784027.0,32796,1806,1293
17376,2020-04-24,US,905358,99079.0,51949,754330.0,36188,1995,18876
17191,2020-04-23,US,869170,80203.0,49954,739013.0,28819,3332,2837
17006,2020-04-22,US,840351,77366.0,46622,716363.0,28486,2178,2162
16821,2020-04-21,US,811865,75204.0,44444,692217.0,27539,2350,2875
16636,2020-04-20,US,784326,72329.0,42094,669903.0,25517,1433,1992
16451,2020-04-19,US,758809,70337.0,40661,647811.0,26612,1997,5497
16266,2020-04-18,US,732197,64840.0,38664,628693.0,32491,1877,6295
16081,2020-04-17,US,699706,58545.0,36787,604374.0,32114,3857,3842
15896,2020-04-16,US,667592,54703.0,32930,579959.0,31242,4592,2607
15711,2020-04-15,US,636350,52096.0,28338,555916.0,28680,2495,4333
15526,2020-04-14,US,607670,47763.0,25843,534064.0,27051,2305,4281
15341,2020-04-13,US,580619,43482.0,23538,513599.0,25306,1509,10494
15156,2020-04-12,US,555313,32988.0,22029,500296.0,28917,1558,1718
14971,2020-04-11,US,526396,31270.0,20471,474655.0,29861,1876,2480
14786,2020-04-10,US,496535,28790.0,18595,449150.0,33755,2051,3380
14601,2020-04-09,US,462780,25410.0,16544,420826.0,34126,1840,1851
14416,2020-04-08,US,428654,23559.0,14704,390391.0,31533,1910,1796
14231,2020-04-07,US,397121,21763.0,12794,362564.0,30804,2011,2182
14046,2020-04-06,US,366317,19581.0,10783,335953.0,29515,1164,2133
13861,2020-04-05,US,336802,17448.0,9619,309735.0,28152,1211,2796
13676,2020-04-04,US,308650,14652.0,8408,285590.0,33283,1318,4945
13491,2020-04-03,US,275367,9707.0,7090,258570.0,31745,1161,706
13306,2020-04-02,US,243622,9001.0,5929,228692.0,30380,1169,527
17916,2020-04-27,Spain,229422,120832.0,23521,85069.0,2793,331,3105
17731,2020-04-26,Spain,226629,117727.0,23190,85712.0,2870,288,22019
17546,2020-04-25,Spain,223759,95708.0,22902,105149.0,3995,378,3353
17361,2020-04-24,Spain,219764,92355.0,22524,104885.0,6740,367,3105
13121,2020-04-01,US,213242,8474.0,4760,200008.0,25070,886,1450
17176,2020-04-23,Spain,213024,89250.0,22157,101617.0,4635,440,3335
16991,2020-04-22,Spain,208389,85915.0,21717,100757.0,4211,435,3401
16806,2020-04-21,Spain,204178,82514.0,21282,100382.0,3968,430,1927
16621,2020-04-20,Spain,200210,80587.0,20852,98771.0,1536,399,3230
17844,2020-04-27,Italy,199414,66624.0,26977,105813.0,1739,333,1696
16436,2020-04-19,Spain,198674,77357.0,20453,100864.0,6948,410,2560
17659,2020-04-26,Italy,197675,64928.0,26644,106103.0,2324,260,1808
17474,2020-04-25,Italy,195351,63120.0,26384,105847.0,2357,415,2622
17289,2020-04-24,Italy,192994,60498.0,25969,106527.0,3021,420,2922
16251,2020-04-18,Spain,191726,74797.0,20043,96886.0,887,41,0
16066,2020-04-17,Spain,190839,74797.0,20002,96040.0,5891,687,0
17104,2020-04-23,Italy,189973,57576.0,25549,106848.0,2646,464,3033
12936,2020-03-31,US,188172,7024.0,3874,177274.0,26341,896,1380
16919,2020-04-22,Italy,187327,54543.0,25085,107699.0,3370,437,2943
15881,2020-04-16,Spain,184948,74797.0,19315,90836.0,7304,607,3944
16734,2020-04-21,Italy,183957,51600.0,24648,107709.0,2729,534,2723
16549,2020-04-20,Italy,181228,48877.0,24114,108237.0,2256,454,1822
16364,2020-04-19,Italy,178972,47055.0,23660,108257.0,3047,433,2128
15696,2020-04-15,Spain,177644,70853.0,18708,88083.0,5103,652,3349
16179,2020-04-18,Italy,175925,44927.0,23227,107771.0,3491,482,2200
15511,2020-04-14,Spain,172541,67504.0,18056,86981.0,2442,300,2777
15994,2020-04-17,Italy,172434,42727.0,22745,106962.0,3493,575,2563
15326,2020-04-13,Spain,170099,64727.0,17756,87616.0,3268,547,2336
15809,2020-04-16,Italy,168941,40164.0,22170,106607.0,3786,525,2072
15141,2020-04-12,Spain,166831,62391.0,17209,87231.0,3804,603,3282
17821,2020-04-27,France,165963,46293.0,23327,96343.0,3743,437,612
15624,2020-04-15,Italy,165155,38092.0,21645,105418.0,2667,578,962
14956,2020-04-11,Spain,163027,59109.0,16606,87312.0,4754,525,3441
15439,2020-04-14,Italy,162488,37130.0,21067,104291.0,2972,602,1695
17636,2020-04-26,France,162220,45681.0,22890,93649.0,576,242,309
12751,2020-03-30,US,161831,5644.0,2978,153209.0,20922,511,2979
17451,2020-04-25,France,161644,45372.0,22648,93624.0,1692,369,1101
17266,2020-04-24,France,159952,44271.0,22279,93402.0,1649,390,1509
15254,2020-04-13,Italy,159516,35435.0,20465,103616.0,3153,566,1224
17825,2020-04-27,Germany,158758,114500.0,6126,38132.0,988,150,2500
17935,2020-04-27,UK,158348,807.0,21157,136384.0,4311,363,29
17081,2020-04-23,France,158303,42762.0,21889,93652.0,2323,516,1436
14771,2020-04-10,Spain,158273,55668.0,16081,86524.0,5051,634,3503
16711,2020-04-21,France,158168,39819.0,20829,97520.0,2775,537,1783
17640,2020-04-26,Germany,157770,112000.0,5976,39794.0,1257,99,2200
17455,2020-04-25,Germany,156513,109800.0,5877,40836.0,1514,117,0
15069,2020-04-12,Italy,156363,34211.0,19899,102253.0,4092,431,1677
16896,2020-04-22,France,155980,41326.0,21373,93281.0,0,544,1507
16526,2020-04-20,France,155393,38036.0,20292,97065.0,2382,548,853
17270,2020-04-24,Germany,154999,109800.0,5760,39439.0,1870,185,6500
17750,2020-04-26,UK,154037,778.0,20794,132465.0,4468,413,4
14586,2020-04-09,Spain,153222,52165.0,15447,85610.0,5002,655,4144
17085,2020-04-23,Germany,153129,103300.0,5575,44254.0,2481,296,3900
16341,2020-04-19,France,153011,37183.0,19744,96084.0,4925,399,596
14884,2020-04-11,Italy,152271,32534.0,19468,100269.0,4694,619,2079
16900,2020-04-22,Germany,150648,99400.0,5279,45969.0,2357,246,4200
17565,2020-04-25,UK,149569,774.0,20381,128414.0,4929,814,50
16715,2020-04-21,Germany,148291,95200.0,5033,48058.0,1226,171,3700
14401,2020-04-08,Spain,148220,48021.0,14792,85407.0,6278,747,4813
16156,2020-04-18,France,148086,36587.0,19345,92154.0,2,642,1581
15971,2020-04-17,France,148084,35006.0,18703,94375.0,2009,762,1679
14699,2020-04-10,Italy,147577,30455.0,18849,98273.0,3951,570,1985
16530,2020-04-20,Germany,147065,91500.0,4862,50703.0,1881,276,3500
15786,2020-04-16,France,146075,33327.0,17941,94807.0,12490,753,1857
16345,2020-04-19,Germany,145184,88000.0,4586,52598.0,1842,127,2600
17380,2020-04-24,UK,144640,724.0,19567,124349.0,5394,776,12
14514,2020-04-09,Italy,143626,28470.0,18279,96877.0,4204,610,1979
16160,2020-04-18,Germany,143342,85400.0,4459,53483.0,1945,107,2286
14216,2020-04-07,Spain,141942,43208.0,14045,84689.0,5267,704,2771
15975,2020-04-17,Germany,141397,83114.0,4352,53931.0,3699,300,6114
12566,2020-03-29,US,140909,2665.0,2467,135777.0,19444,441,1593
14329,2020-04-08,Italy,139422,26491.0,17669,95262.0,3836,542,2099
17195,2020-04-23,UK,139246,712.0,18791,119743.0,4608,640,29
15790,2020-04-16,Germany,137698,77000.0,4052,56646.0,2945,248,4400
14031,2020-04-06,Spain,136675,40437.0,13341,82897.0,5029,700,2357
14144,2020-04-07,Italy,135586,24392.0,17127,94067.0,3039,604,1555
